Year,Month,DayOfWeek,Hour,Total
2019,7,3,11,255.6
2019,7,3,12,302.8
2019,7,3,13,315.4
2019,7,3,14,348.8
2019,7,3,15,401.2
2019,7,3,16,546.4
2019,7,3,17,830.4
2019,7,3,18,964.6
2019,7,3,19,682.2
2019,7,3,20,457.2
2019,7,3,21,375.0
2019,7,3,22,355.2
2019,7,3,23,212.0
2019,7,4,0,101.5
2019,7,4,1,31.0
2019,7,4,2,16.75
2019,7,4,3,7.0
2019,7,4,4,12.25
2019,7,4,5,38.25
2019,7,4,6,165.25
2019,7,4,7,554.75
2019,7,4,8,912.0
2019,7,4,9,524.75
2019,7,4,10,294.75
2019,7,4,11,303.0
2019,7,4,12,337.25
2019,7,4,13,340.25
2019,7,4,14,371.25
2019,7,4,15,447.75
2019,7,4,16,541.25
2019,7,4,17,789.25
2019,7,4,18,935.5
2019,7,4,19,627.25
2019,7,4,20,467.75
2019,7,4,21,350.25
2019,7,4,22,341.0
2019,7,4,23,223.5
2019,7,5,0,130.5
2019,7,5,1,47.25
2019,7,5,2,22.25
2019,7,5,3,15.25
2019,7,5,4,12.0
2019,7,5,5,33.75
2019,7,5,6,133.0
2019,7,5,7,417.5
2019,7,5,8,694.75
2019,7,5,9,429.75
2019,7,5,10,283.25
2019,7,5,11,265.75
2019,7,5,12,324.25
2019,7,5,13,369.0
2019,7,5,14,395.25
2019,7,5,15,475.25
2019,7,5,16,544.5
2019,7,5,17,655.5
2019,7,5,18,660.25
2019,7,5,19,529.25
2019,7,5,20,396.75
2019,7,5,21,307.5
2019,7,5,22,256.0
2019,7,5,23,216.0
2019,7,6,0,173.75
2019,7,6,1,97.75
2019,7,6,2,57.5
2019,7,6,3,30.0
2019,7,6,4,19.5
2019,7,6,5,22.25
2019,7,6,6,24.75
2019,7,6,7,51.0
2019,7,6,8,104.0
2019,7,6,9,192.5
2019,7,6,10,233.75
2019,7,6,11,293.5
2019,7,6,12,369.75
2019,7,6,13,393.75
2019,7,6,14,425.5
2019,7,6,15,372.5
2019,7,6,16,405.5
2019,7,6,17,395.75
2019,7,6,18,403.75
2019,7,6,19,324.5
2019,7,6,20,251.5
2019,7,6,21,191.5
2019,7,6,22,184.75
2019,7,6,23,147.5
2019,7,7,0,130.0
2019,7,7,1,70.75
2019,7,7,2,42.0
2019,7,7,3,37.25
2019,7,7,4,26.0
2019,7,7,5,28.25
2019,7,7,6,23.75
2019,7,7,7,27.75
2019,7,7,8,37.5
2019,7,7,9,70.25
2019,7,7,10,117.25
2019,7,7,11,137.0
2019,7,7,12,193.25
2019,7,7,13,266.5
2019,7,7,14,349.0
2019,7,7,15,299.25
2019,7,7,16,294.75
2019,7,7,17,245.0
2019,7,7,18,256.25
2019,7,7,19,198.0
2019,7,7,20,131.75
2019,7,7,21,105.5
2019,7,7,22,88.5
2019,7,7,23,39.0
2019,8,1,0,26.5
2019,8,1,1,14.5
2019,8,1,2,5.5
2019,8,1,3,4.0
2019,8,1,4,5.0
2019,8,1,5,23.25
2019,8,1,6,98.0
2019,8,1,7,264.5
2019,8,1,8,477.5
2019,8,1,9,271.25
2019,8,1,10,157.5
2019,8,1,11,157.25
2019,8,1,12,168.25
2019,8,1,13,185.25
2019,8,1,14,187.25
2019,8,1,15,226.5
2019,8,1,16,301.75
2019,8,1,17,478.25
2019,8,1,18,483.0
2019,8,1,19,299.75
2019,8,1,20,200.25
2019,8,1,21,143.25
2019,8,1,22,96.0
2019,8,1,23,53.0
2019,8,2,0,27.5
2019,8,2,1,10.25
2019,8,2,2,5.25
2019,8,2,3,4.25
2019,8,2,4,5.25
2019,8,2,5,26.0
2019,8,2,6,115.25
2019,8,2,7,296.25
2019,8,2,8,553.25
2019,8,2,9,309.0
2019,8,2,10,181.0
2019,8,2,11,176.5
2019,8,2,12,204.25
2019,8,2,13,218.5
2019,8,2,14,224.25
2019,8,2,15,257.5
2019,8,2,16,353.25
2019,8,2,17,510.25
2019,8,2,18,608.75
2019,8,2,19,382.5
2019,8,2,20,232.25
2019,8,2,21,175.0
2019,8,2,22,153.25
2019,8,2,23,86.25
2019,8,3,0,31.5
2019,8,3,1,19.25
2019,8,3,2,5.75
2019,8,3,3,5.25
2019,8,3,4,7.75
2019,8,3,5,29.25
2019,8,3,6,111.0
2019,8,3,7,305.75
2019,8,3,8,584.25
2019,8,3,9,326.5
2019,8,3,10,209.75
2019,8,3,11,211.25
2019,8,3,12,237.25
2019,8,3,13,227.25
2019,8,3,14,225.75
2019,8,3,15,276.0
2019,8,3,16,367.75
2019,8,3,17,553.5
2019,8,3,18,665.75
2019,8,3,19,423.0
2019,8,3,20,280.0
2019,8,3,21,197.25
2019,8,3,22,151.75
2019,8,3,23,101.0
2019,8,4,0,50.6
2019,8,4,1,35.8
2019,8,4,2,15.0
2019,8,4,3,12.6
2019,8,4,4,10.6
2019,8,4,5,28.6
2019,8,4,6,106.2
2019,8,4,7,298.0
2019,8,4,8,517.4
2019,8,4,9,332.6
2019,8,4,10,213.6
2019,8,4,11,213.2
2019,8,4,12,230.0
2019,8,4,13,239.2
2019,8,4,14,261.2
2019,8,4,15,319.2
2019,8,4,16,410.4
2019,8,4,17,576.2
2019,8,4,18,613.6
2019,8,4,19,453.0
2019,8,4,20,318.6
2019,8,4,21,214.2
2019,8,4,22,193.6
2019,8,4,23,128.8
2019,8,5,0,58.6
2019,8,5,1,27.2
2019,8,5,2,11.6
2019,8,5,3,6.4
2019,8,5,4,9.6
2019,8,5,5,30.0
2019,8,5,6,105.4
2019,8,5,7,296.4
2019,8,5,8,531.2
2019,8,5,9,338.0
2019,8,5,10,242.6
2019,8,5,11,243.6
2019,8,5,12,274.0
2019,8,5,13,289.6
2019,8,5,14,362.8
2019,8,5,15,430.2
2019,8,5,16,479.2
2019,8,5,17,562.0
2019,8,5,18,545.8
2019,8,5,19,433.4
2019,8,5,20,312.0
2019,8,5,21,188.6
2019,8,5,22,174.4
2019,8,5,23,152.0
2019,8,6,0,111.4
2019,8,6,1,62.8
2019,8,6,2,37.6
2019,8,6,3,19.8
2019,8,6,4,13.8
2019,8,6,5,15.0
2019,8,6,6,23.6
2019,8,6,7,37.2
2019,8,6,8,75.6
2019,8,6,9,136.6
2019,8,6,10,194.8
2019,8,6,11,265.0
2019,8,6,12,312.4
2019,8,6,13,341.4
2019,8,6,14,337.4
2019,8,6,15,341.4
2019,8,6,16,327.4
2019,8,6,17,333.0
2019,8,6,18,370.8
2019,8,6,19,306.2
2019,8,6,20,238.0
2019,8,6,21,138.2
2019,8,6,22,136.2
2019,8,6,23,117.8
2019,8,7,0,76.75
2019,8,7,1,66.0
2019,8,7,2,39.75
2019,8,7,3,29.0
2019,8,7,4,13.25
2019,8,7,5,16.5
2019,8,7,6,19.75
2019,8,7,7,30.25
2019,8,7,8,76.5
2019,8,7,9,147.5
2019,8,7,10,275.75
2019,8,7,11,365.5
2019,8,7,12,481.0
2019,8,7,13,562.75
2019,8,7,14,595.0
2019,8,7,15,558.75
2019,8,7,16,613.25
2019,8,7,17,591.5
2019,8,7,18,481.0
2019,8,7,19,372.75
2019,8,7,20,269.25
2019,8,7,21,190.25
2019,8,7,22,116.25
2019,8,7,23,55.75
2019,9,1,0,13.8
2019,9,1,1,9.6
2019,9,1,2,5.0
2019,9,1,3,4.6
2019,9,1,4,4.6
2019,9,1,5,21.6
2019,9,1,6,90.4
2019,9,1,7,283.2
2019,9,1,8,448.0
2019,9,1,9,242.8
2019,9,1,10,116.6
2019,9,1,11,125.2
2019,9,1,12,131.2
2019,9,1,13,158.4
2019,9,1,14,177.8
2019,9,1,15,210.2
2019,9,1,16,285.6
2019,9,1,17,385.8
2019,9,1,18,433.2
2019,9,1,19,264.6
2019,9,1,20,159.0
2019,9,1,21,107.6
2019,9,1,22,99.8
2019,9,1,23,48.8
2019,9,2,0,24.25
2019,9,2,1,7.5
2019,9,2,2,3.75
2019,9,2,3,4.25
2019,9,2,4,4.0
2019,9,2,5,25.5
2019,9,2,6,125.0
2019,9,2,7,391.25
2019,9,2,8,668.75
2019,9,2,9,362.75
2019,9,2,10,191.25
2019,9,2,11,190.0
2019,9,2,12,230.25
2019,9,2,13,261.75
2019,9,2,14,289.5
2019,9,2,15,330.0
2019,9,2,16,391.0
2019,9,2,17,615.5
2019,9,2,18,669.0
2019,9,2,19,419.5
2019,9,2,20,254.5
2019,9,2,21,169.0
2019,9,2,22,147.75
2019,9,2,23,81.75
2019,9,3,0,34.25
2019,9,3,1,14.5
2019,9,3,2,4.25
2019,9,3,3,3.5
2019,9,3,4,6.0
2019,9,3,5,25.75
2019,9,3,6,133.5
2019,9,3,7,400.75
2019,9,3,8,703.75
2019,9,3,9,369.0
2019,9,3,10,178.5
2019,9,3,11,205.25
2019,9,3,12,234.5
2019,9,3,13,272.0
2019,9,3,14,332.0
2019,9,3,15,353.75
2019,9,3,16,437.75
2019,9,3,17,653.5
2019,9,3,18,694.25
2019,9,3,19,454.0
2019,9,3,20,273.75
2019,9,3,21,197.75
2019,9,3,22,163.0
2019,9,3,23,109.75
2019,9,4,0,39.5
2019,9,4,1,13.25
2019,9,4,2,6.0
2019,9,4,3,5.25
2019,9,4,4,6.0
2019,9,4,5,23.5
2019,9,4,6,111.25
2019,9,4,7,372.75
2019,9,4,8,633.5
2019,9,4,9,337.0
2019,9,4,10,196.0
2019,9,4,11,179.25
2019,9,4,12,196.25
2019,9,4,13,209.5
2019,9,4,14,229.75
2019,9,4,15,286.0
2019,9,4,16,371.0
2019,9,4,17,480.75
2019,9,4,18,569.0
2019,9,4,19,341.75
2019,9,4,20,182.5
2019,9,4,21,143.0
2019,9,4,22,127.5
2019,9,4,23,80.0
2019,9,5,0,32.25
2019,9,5,1,19.0
2019,9,5,2,7.5
2019,9,5,3,5.75
2019,9,5,4,8.0
2019,9,5,5,23.0
2019,9,5,6,92.0
2019,9,5,7,321.5
2019,9,5,8,528.75
2019,9,5,9,304.0
2019,9,5,10,190.5
2019,9,5,11,226.5
2019,9,5,12,252.25
2019,9,5,13,303.25
2019,9,5,14,336.0
2019,9,5,15,367.5
2019,9,5,16,426.0
2019,9,5,17,454.0
2019,9,5,18,427.5
2019,9,5,19,317.25
2019,9,5,20,211.0
2019,9,5,21,139.75
2019,9,5,22,138.5
2019,9,5,23,117.5
2019,9,6,0,69.0
2019,9,6,1,37.0
2019,9,6,2,25.75
2019,9,6,3,13.75
2019,9,6,4,8.0
2019,9,6,5,11.25
2019,9,6,6,13.5
2019,9,6,7,28.25
2019,9,6,8,65.25
2019,9,6,9,114.0
2019,9,6,10,153.75
2019,9,6,11,234.25
2019,9,6,12,235.0
2019,9,6,13,297.25
2019,9,6,14,318.0
2019,9,6,15,323.0
2019,9,6,16,329.75
2019,9,6,17,317.0
2019,9,6,18,319.25
2019,9,6,19,252.5
2019,9,6,20,159.75
2019,9,6,21,117.0
2019,9,6,22,118.0
2019,9,6,23,91.5
2019,9,7,0,75.6
2019,9,7,1,53.4
2019,9,7,2,34.6
2019,9,7,3,16.8
2019,9,7,4,10.4
2019,9,7,5,16.2
2019,9,7,6,14.8
2019,9,7,7,21.6
2019,9,7,8,59.2
2019,9,7,9,145.2
2019,9,7,10,236.0
2019,9,7,11,281.2
2019,9,7,12,351.0
2019,9,7,13,394.6
2019,9,7,14,434.4
2019,9,7,15,420.4
2019,9,7,16,390.6
2019,9,7,17,378.4
2019,9,7,18,323.2
2019,9,7,19,218.6
2019,9,7,20,125.8
2019,9,7,21,80.2
2019,9,7,22,66.4
2019,9,7,23,34.0
2019,10,1,0,14.25
2019,10,1,1,6.25
2019,10,1,2,5.75
2019,10,1,3,3.75
2019,10,1,4,4.25
2019,10,1,5,20.5
2019,10,1,6,103.0
2019,10,1,7,285.5
2019,10,1,8,506.25
2019,10,1,9,265.5
2019,10,1,10,143.0
2019,10,1,11,132.75
2019,10,1,12,163.0
2019,10,1,13,161.75
2019,10,1,14,196.75
2019,10,1,15,233.5
2019,10,1,16,320.5
2019,10,1,17,424.25
2019,10,1,18,492.25
2019,10,1,19,293.0
2019,10,1,20,167.75
2019,10,1,21,104.0
2019,10,1,22,109.75
2019,10,1,23,60.75
2019,10,2,0,18.8
2019,10,2,1,11.4
2019,10,2,2,7.8
2019,10,2,3,4.8
2019,10,2,4,4.2
2019,10,2,5,26.6
2019,10,2,6,114.0
2019,10,2,7,375.2
2019,10,2,8,620.8
2019,10,2,9,335.8
2019,10,2,10,167.2
2019,10,2,11,169.8
2019,10,2,12,191.6
2019,10,2,13,221.8
2019,10,2,14,256.0
2019,10,2,15,301.8
2019,10,2,16,373.0
2019,10,2,17,511.4
2019,10,2,18,562.8
2019,10,2,19,343.6
2019,10,2,20,201.4
2019,10,2,21,141.6
2019,10,2,22,133.8
2019,10,2,23,76.2
2019,10,3,0,25.2
2019,10,3,1,9.2
2019,10,3,2,5.8
2019,10,3,3,3.8
2019,10,3,4,4.4
2019,10,3,5,18.2
2019,10,3,6,90.6
2019,10,3,7,288.2
2019,10,3,8,497.4
2019,10,3,9,285.8
2019,10,3,10,149.2
2019,10,3,11,140.2
2019,10,3,12,143.6
2019,10,3,13,180.2
2019,10,3,14,190.6
2019,10,3,15,222.2
2019,10,3,16,293.6
2019,10,3,17,375.6
2019,10,3,18,411.6
2019,10,3,19,259.6
2019,10,3,20,163.4
2019,10,3,21,109.0
2019,10,3,22,105.2
2019,10,3,23,68.0
2019,10,4,0,25.8
2019,10,4,1,16.0
2019,10,4,2,10.0
2019,10,4,3,4.4
2019,10,4,4,7.6
2019,10,4,5,17.8
2019,10,4,6,92.8
2019,10,4,7,248.8
2019,10,4,8,462.8
2019,10,4,9,297.8
2019,10,4,10,163.2
2019,10,4,11,158.4
2019,10,4,12,191.0
2019,10,4,13,203.6
2019,10,4,14,238.6
2019,10,4,15,278.8
2019,10,4,16,331.2
2019,10,4,17,397.0
2019,10,4,18,449.2
2019,10,4,19,298.4
2019,10,4,20,169.0
2019,10,4,21,121.4
2019,10,4,22,128.0
2019,10,4,23,84.0
2019,10,5,0,44.0
2019,10,5,1,19.0
2019,10,5,2,8.75
2019,10,5,3,6.75
2019,10,5,4,8.5
2019,10,5,5,21.25
2019,10,5,6,95.5
2019,10,5,7,289.25
2019,10,5,8,485.25
2019,10,5,9,295.5
2019,10,5,10,185.0
2019,10,5,11,193.25
2019,10,5,12,242.25
2019,10,5,13,262.5
2019,10,5,14,287.75
2019,10,5,15,326.5
2019,10,5,16,371.75
2019,10,5,17,420.25
2019,10,5,18,385.25
2019,10,5,19,272.75
2019,10,5,20,160.5
2019,10,5,21,111.75
2019,10,5,22,128.5
2019,10,5,23,94.0
2019,10,6,0,60.0
2019,10,6,1,52.0
2019,10,6,2,24.25
2019,10,6,3,15.25
2019,10,6,4,10.25
2019,10,6,5,7.75
2019,10,6,6,16.75
2019,10,6,7,35.75
2019,10,6,8,62.0
2019,10,6,9,121.5
2019,10,6,10,155.75
2019,10,6,11,209.75
2019,10,6,12,276.5
2019,10,6,13,300.0
2019,10,6,14,362.75
2019,10,6,15,370.25
2019,10,6,16,337.75
2019,10,6,17,342.75
2019,10,6,18,281.75
2019,10,6,19,202.5
2019,10,6,20,131.5
2019,10,6,21,91.0
2019,10,6,22,107.0
2019,10,6,23,101.75
2019,10,7,0,67.0
2019,10,7,1,60.0
2019,10,7,2,33.5
2019,10,7,3,16.75
2019,10,7,4,7.75
2019,10,7,5,11.25
2019,10,7,6,12.75
2019,10,7,7,18.5
2019,10,7,8,54.25
2019,10,7,9,128.25
2019,10,7,10,234.0
2019,10,7,11,359.75
2019,10,7,12,461.0
2019,10,7,13,551.0
2019,10,7,14,602.75
2019,10,7,15,583.0
2019,10,7,16,493.25
2019,10,7,17,408.75
2019,10,7,18,271.5
2019,10,7,19,166.5
2019,10,7,20,95.25
2019,10,7,21,67.5
2019,10,7,22,69.75
2019,10,7,23,40.25
2019,11,1,0,9.25
2019,11,1,1,5.25
2019,11,1,2,5.75
2019,11,1,3,3.0
2019,11,1,4,5.25
2019,11,1,5,19.0
2019,11,1,6,92.75
2019,11,1,7,311.0
2019,11,1,8,547.5
2019,11,1,9,298.25
2019,11,1,10,139.5
2019,11,1,11,126.0
2019,11,1,12,152.25
2019,11,1,13,154.0
2019,11,1,14,190.25
2019,11,1,15,218.0
2019,11,1,16,274.75
2019,11,1,17,386.5
2019,11,1,18,435.5
2019,11,1,19,254.25
2019,11,1,20,152.5
2019,11,1,21,104.75
2019,11,1,22,96.5
2019,11,1,23,54.25
2019,11,2,0,16.25
2019,11,2,1,8.25
2019,11,2,2,4.75
2019,11,2,3,2.5
2019,11,2,4,5.75
2019,11,2,5,19.25
2019,11,2,6,84.25
2019,11,2,7,299.75
2019,11,2,8,516.0
2019,11,2,9,268.5
2019,11,2,10,127.75
2019,11,2,11,125.25
2019,11,2,12,126.0
2019,11,2,13,162.5
2019,11,2,14,180.25
2019,11,2,15,199.25
2019,11,2,16,278.25
2019,11,2,17,402.75
2019,11,2,18,451.5
2019,11,2,19,269.75
2019,11,2,20,160.5
2019,11,2,21,104.0
2019,11,2,22,98.75
2019,11,2,23,63.75
2019,11,3,0,25.25
2019,11,3,1,8.75
2019,11,3,2,7.25
2019,11,3,3,4.5
2019,11,3,4,6.25
2019,11,3,5,15.75
2019,11,3,6,89.25
2019,11,3,7,287.5
2019,11,3,8,497.75
2019,11,3,9,273.5
2019,11,3,10,146.75
2019,11,3,11,120.25
2019,11,3,12,146.75
2019,11,3,13,155.25
2019,11,3,14,158.25
2019,11,3,15,175.25
2019,11,3,16,242.0
2019,11,3,17,366.75
2019,11,3,18,438.25
2019,11,3,19,270.0
2019,11,3,20,158.25
2019,11,3,21,118.5
2019,11,3,22,118.5
2019,11,3,23,62.25
2019,11,4,0,26.75
2019,11,4,1,14.0
2019,11,4,2,5.75
2019,11,4,3,4.5
2019,11,4,4,7.0
2019,11,4,5,18.25
2019,11,4,6,97.25
2019,11,4,7,286.75
2019,11,4,8,510.5
2019,11,4,9,301.5
2019,11,4,10,157.0
2019,11,4,11,139.75
2019,11,4,12,142.25
2019,11,4,13,176.75
2019,11,4,14,183.5
2019,11,4,15,238.75
2019,11,4,16,288.5
2019,11,4,17,405.5
2019,11,4,18,428.5
2019,11,4,19,294.25
2019,11,4,20,174.0
2019,11,4,21,120.0
2019,11,4,22,120.75
2019,11,4,23,75.5
2019,11,5,0,37.6
2019,11,5,1,21.4
2019,11,5,2,12.8
2019,11,5,3,4.8
2019,11,5,4,5.2
2019,11,5,5,13.8
2019,11,5,6,67.4
2019,11,5,7,205.8
2019,11,5,8,334.2
2019,11,5,9,210.8
2019,11,5,10,119.0
2019,11,5,11,108.8
2019,11,5,12,138.2
2019,11,5,13,155.8
2019,11,5,14,203.2
2019,11,5,15,206.8
2019,11,5,16,224.2
2019,11,5,17,227.4
2019,11,5,18,242.8
2019,11,5,19,157.4
2019,11,5,20,88.6
2019,11,5,21,67.0
2019,11,5,22,75.6
2019,11,5,23,51.8
2019,11,6,0,41.6
2019,11,6,1,29.0
2019,11,6,2,15.0
2019,11,6,3,11.0
2019,11,6,4,8.0
2019,11,6,5,8.8
2019,11,6,6,12.4
2019,11,6,7,21.0
2019,11,6,8,45.8
2019,11,6,9,74.0
2019,11,6,10,111.2
2019,11,6,11,139.8
2019,11,6,12,172.6
2019,11,6,13,194.8
2019,11,6,14,203.6
2019,11,6,15,210.8
2019,11,6,16,192.0
2019,11,6,17,168.0
2019,11,6,18,151.2
2019,11,6,19,119.6
2019,11,6,20,98.6
2019,11,6,21,71.8
2019,11,6,22,68.4
2019,11,6,23,69.4
2019,11,7,0,57.75
2019,11,7,1,45.5
2019,11,7,2,27.5
2019,11,7,3,11.25
2019,11,7,4,10.25
2019,11,7,5,8.5
2019,11,7,6,11.0
2019,11,7,7,17.0
2019,11,7,8,38.0
2019,11,7,9,66.25
2019,11,7,10,118.0
2019,11,7,11,106.25
2019,11,7,12,145.5
2019,11,7,13,174.5
2019,11,7,14,217.75
2019,11,7,15,210.0
2019,11,7,16,202.25
2019,11,7,17,169.75
2019,11,7,18,133.25
2019,11,7,19,93.0
2019,11,7,20,61.75
2019,11,7,21,41.75
2019,11,7,22,41.0
2019,11,7,23,25.75
2019,12,1,0,12.4
2019,12,1,1,4.2
2019,12,1,2,4.6
2019,12,1,3,2.8
2019,12,1,4,5.4
2019,12,1,5,12.2
2019,12,1,6,53.8
2019,12,1,7,168.6
2019,12,1,8,306.0
2019,12,1,9,178.8
2019,12,1,10,102.2
2019,12,1,11,97.6
2019,12,1,12,123.2
2019,12,1,13,131.0
2019,12,1,14,146.6
2019,12,1,15,162.8
2019,12,1,16,190.6
2019,12,1,17,247.8
2019,12,1,18,245.8
2019,12,1,19,175.4
2019,12,1,20,105.8
2019,12,1,21,66.6
2019,12,1,22,61.8
2019,12,1,23,38.2
2019,12,2,0,15.2
2019,12,2,1,7.6
2019,12,2,2,7.8
2019,12,2,3,2.6
2019,12,2,4,4.2
2019,12,2,5,10.8
2019,12,2,6,52.2
2019,12,2,7,174.0
2019,12,2,8,289.4
2019,12,2,9,174.2
2019,12,2,10,102.2
2019,12,2,11,112.0
2019,12,2,12,131.0
2019,12,2,13,143.4
2019,12,2,14,140.4
2019,12,2,15,151.6
2019,12,2,16,180.2
2019,12,2,17,231.0
2019,12,2,18,269.8
2019,12,2,19,168.4
2019,12,2,20,108.2
2019,12,2,21,70.0
2019,12,2,22,78.0
2019,12,2,23,50.4
2019,12,3,0,33.5
2019,12,3,1,10.0
2019,12,3,2,4.5
2019,12,3,3,5.0
2019,12,3,4,5.25
2019,12,3,5,12.0
2019,12,3,6,59.75
2019,12,3,7,186.0
2019,12,3,8,357.0
2019,12,3,9,213.5
2019,12,3,10,127.25
2019,12,3,11,108.5
2019,12,3,12,139.0
2019,12,3,13,155.25
2019,12,3,14,159.25
2019,12,3,15,161.75
2019,12,3,16,212.25
2019,12,3,17,269.5
2019,12,3,18,301.25
2019,12,3,19,221.5
2019,12,3,20,123.0
2019,12,3,21,98.0
2019,12,3,22,84.5
2019,12,3,23,54.25
2019,12,4,0,29.25
2019,12,4,1,14.5
2019,12,4,2,8.5
2019,12,4,3,4.25
2019,12,4,4,5.0
2019,12,4,5,11.75
2019,12,4,6,59.5
2019,12,4,7,175.0
2019,12,4,8,316.0
2019,12,4,9,213.75
2019,12,4,10,111.0
2019,12,4,11,113.75
2019,12,4,12,137.5
2019,12,4,13,151.0
2019,12,4,14,158.25
2019,12,4,15,185.75
2019,12,4,16,188.5
2019,12,4,17,249.75
2019,12,4,18,276.75
2019,12,4,19,171.0
2019,12,4,20,97.5
2019,12,4,21,87.75
2019,12,4,22,75.5
2019,12,4,23,57.5
2019,12,5,0,38.25
2019,12,5,1,18.75
2019,12,5,2,11.5
2019,12,5,3,4.25
2019,12,5,4,6.75
2019,12,5,5,11.0
2019,12,5,6,48.25
2019,12,5,7,150.75
2019,12,5,8,273.75
2019,12,5,9,201.75
2019,12,5,10,115.75
2019,12,5,11,108.0
2019,12,5,12,141.75
2019,12,5,13,144.75
2019,12,5,14,181.5
2019,12,5,15,182.0
2019,12,5,16,208.25
2019,12,5,17,203.75
2019,12,5,18,205.5
2019,12,5,19,154.25
2019,12,5,20,93.25
2019,12,5,21,51.25
2019,12,5,22,61.0
2019,12,5,23,51.5
2019,12,6,0,45.5
2019,12,6,1,27.0
2019,12,6,2,20.25
2019,12,6,3,16.5
2019,12,6,4,6.25
2019,12,6,5,7.75
2019,12,6,6,12.5
2019,12,6,7,19.5
2019,12,6,8,33.25
2019,12,6,9,46.75
2019,12,6,10,67.75
2019,12,6,11,85.75
2019,12,6,12,109.75
2019,12,6,13,118.25
2019,12,6,14,122.5
2019,12,6,15,123.0
2019,12,6,16,114.0
2019,12,6,17,105.5
2019,12,6,18,101.25
2019,12,6,19,93.75
2019,12,6,20,66.75
2019,12,6,21,49.75
2019,12,6,22,48.25
2019,12,6,23,40.0
2019,12,7,0,40.6
2019,12,7,1,29.6
2019,12,7,2,14.8
2019,12,7,3,9.4
2019,12,7,4,6.4
2019,12,7,5,7.0
2019,12,7,6,10.4
2019,12,7,7,15.4
2019,12,7,8,25.2
2019,12,7,9,50.4
2019,12,7,10,88.8
2019,12,7,11,109.2
2019,12,7,12,142.2
2019,12,7,13,162.8
2019,12,7,14,182.2
2019,12,7,15,174.8
2019,12,7,16,143.8
2019,12,7,17,121.0
2019,12,7,18,100.2
2019,12,7,19,75.6
2019,12,7,20,54.0
2019,12,7,21,41.6
2019,12,7,22,38.4
2019,12,7,23,24.6
2020,1,1,0,10.0
2020,1,1,1,4.25
2020,1,1,2,4.75
2020,1,1,3,3.5
2020,1,1,4,3.5
2020,1,1,5,13.5
2020,1,1,6,60.5
2020,1,1,7,191.5
2020,1,1,8,346.75
2020,1,1,9,196.75
2020,1,1,10,113.25
2020,1,1,11,113.5
2020,1,1,12,138.25
2020,1,1,13,173.5
2020,1,1,14,195.5
2020,1,1,15,206.5
2020,1,1,16,234.5
2020,1,1,17,284.5
2020,1,1,18,315.5
2020,1,1,19,197.75
2020,1,1,20,121.25
2020,1,1,21,75.0
2020,1,1,22,63.5
2020,1,1,23,30.5
2020,1,2,0,8.5
2020,1,2,1,5.75
2020,1,2,2,4.25
2020,1,2,3,2.5
2020,1,2,4,5.25
2020,1,2,5,17.5
2020,1,2,6,86.75
2020,1,2,7,269.0
2020,1,2,8,463.5
2020,1,2,9,220.25
2020,1,2,10,107.0
2020,1,2,11,100.25
2020,1,2,12,118.5
2020,1,2,13,130.75
2020,1,2,14,155.0
2020,1,2,15,176.25
2020,1,2,16,221.5
2020,1,2,17,322.75
2020,1,2,18,395.75
2020,1,2,19,215.5
2020,1,2,20,138.0
2020,1,2,21,92.5
2020,1,2,22,87.0
2020,1,2,23,46.75
2020,1,3,0,19.0
2020,1,3,1,14.0
2020,1,3,2,13.2
2020,1,3,3,7.6
2020,1,3,4,7.6
2020,1,3,5,14.4
2020,1,3,6,65.4
2020,1,3,7,207.2
2020,1,3,8,365.6
2020,1,3,9,208.8
2020,1,3,10,108.0
2020,1,3,11,95.2
2020,1,3,12,114.8
2020,1,3,13,140.4
2020,1,3,14,154.2
2020,1,3,15,161.8
2020,1,3,16,182.0
2020,1,3,17,270.4
2020,1,3,18,312.2
2020,1,3,19,196.8
2020,1,3,20,102.6
2020,1,3,21,81.8
2020,1,3,22,75.6
2020,1,3,23,35.0
2020,1,4,0,15.2
2020,1,4,1,8.2
2020,1,4,2,4.0
2020,1,4,3,2.4
2020,1,4,4,4.6
2020,1,4,5,14.4
2020,1,4,6,79.6
2020,1,4,7,220.0
2020,1,4,8,422.0
2020,1,4,9,236.6
2020,1,4,10,127.2
2020,1,4,11,120.6
2020,1,4,12,137.2
2020,1,4,13,165.2
2020,1,4,14,184.0
2020,1,4,15,204.2
2020,1,4,16,239.6
2020,1,4,17,321.6
2020,1,4,18,355.0
2020,1,4,19,225.6
2020,1,4,20,119.8
2020,1,4,21,89.6
2020,1,4,22,92.8
2020,1,4,23,52.8
2020,1,5,0,20.2
2020,1,5,1,13.6
2020,1,5,2,6.2
2020,1,5,3,3.8
2020,1,5,4,5.4
2020,1,5,5,20.2
2020,1,5,6,66.2
2020,1,5,7,193.2
2020,1,5,8,345.0
2020,1,5,9,221.8
2020,1,5,10,133.0
2020,1,5,11,126.4
2020,1,5,12,168.6
2020,1,5,13,190.6
2020,1,5,14,220.8
2020,1,5,15,219.4
2020,1,5,16,254.6
2020,1,5,17,280.6
2020,1,5,18,261.0
2020,1,5,19,181.8
2020,1,5,20,116.4
2020,1,5,21,72.4
2020,1,5,22,72.2
2020,1,5,23,66.0
2020,1,6,0,41.25
2020,1,6,1,27.75
2020,1,6,2,11.0
2020,1,6,3,9.0
2020,1,6,4,5.75
2020,1,6,5,9.75
